year,date,median,low,high
2019,2020-01-01,6.0,0,29
2019,2020-01-02,10.0,0,37
2019,2020-01-03,10.0,0,40
2019,2020-01-04,12.0,0,42
2019,2020-01-05,10.0,0,35
2019,2020-01-06,8.0,0,29
2019,2020-01-07,8.0,0,45
2019,2020-01-08,10.0,0,56
2019,2020-01-09,12.0,0,63
2019,2020-01-10,10.0,0,54
2019,2020-01-11,7.0,0,31
2019,2020-01-12,6.0,0,26
2019,2020-01-13,4.0,0,25
2019,2020-01-14,5.0,0,25
2019,2020-01-15,5.0,0,27
2019,2020-01-16,5.0,0,29
2019,2020-01-17,6.0,0,29
2019,2020-01-18,7.0,0,29
2019,2020-01-19,6.0,0,26
2019,2020-01-20,4.0,0,20
2019,2020-01-21,3.0,0,11
2019,2020-01-22,5.0,0,18
2019,2020-01-23,5.0,0,19
2019,2020-01-24,5.0,0,19
2019,2020-01-25,7.0,0,22
2019,2020-01-26,6.0,0,19
2019,2020-01-27,5.0,0,15
2019,2020-01-28,5.0,0,47
2019,2020-01-29,5.0,0,45
2019,2020-01-30,5.0,0,29
2019,2020-01-31,5.0,0,23
2019,2020-02-01,6.0,0,26
2019,2020-02-02,6.0,0,25
2019,2020-02-03,4.0,0,20
2019,2020-02-04,5.0,0,25
2019,2020-02-05,5.0,0,29
2019,2020-02-06,5.0,0,30
2019,2020-02-07,5.0,0,28
2019,2020-02-08,7.0,0,30
2019,2020-02-09,6.0,0,28
2019,2020-02-10,4.0,0,25
2019,2020-02-11,5.0,0,23
2019,2020-02-12,5.0,0,21
2019,2020-02-13,5.0,0,21
2019,2020-02-14,6.0,0,24
2019,2020-02-15,7.0,0,26
2019,2020-02-16,7.0,0,24
2019,2020-02-17,5.0,0,19
2019,2020-02-18,5.0,0,17
2019,2020-02-19,5.0,0,20
2019,2020-02-20,5.0,0,20
2019,2020-02-21,6.0,0,22
2019,2020-02-22,7.0,0,23
2019,2020-02-23,7.0,0,21
2019,2020-02-24,4.0,0,14
2019,2020-02-25,5.0,0,18
2019,2020-02-26,5.0,0,19
2019,2020-02-27,5.0,0,20
2019,2020-02-28,6.0,0,21
2019,2020-03-01,6.0,0,21
2019,2020-03-02,6.0,0,18
2019,2020-03-03,5.0,0,16
2019,2020-03-04,4.0,0,22
2019,2020-03-05,5.0,0,25
2019,2020-03-06,5.0,0,28
2019,2020-03-07,6.0,0,27
2019,2020-03-08,7.0,0,30
2019,2020-03-09,7.0,0,27
2019,2020-03-10,4.0,0,19
2019,2020-03-11,6.0,0,22
2019,2020-03-12,5.0,0,19
2019,2020-03-13,5.0,0,21
2019,2020-03-14,6.0,0,23
2019,2020-03-15,8.0,0,25
2019,2020-03-16,7.0,0,24
2019,2020-03-17,5.0,0,17
2019,2020-03-18,5.0,0,20
2019,2020-03-19,6.0,0,22
2019,2020-03-20,6.0,0,22
2019,2020-03-21,6.0,0,23
2019,2020-03-22,7.0,0,24
2019,2020-03-23,7.0,0,23
2019,2020-03-24,5.0,0,17
2019,2020-03-25,6.0,0,21
2019,2020-03-26,5.0,0,21
2019,2020-03-27,6.0,0,22
2019,2020-03-28,7.0,0,26
2019,2020-03-29,7.0,0,24
2019,2020-03-30,7.0,0,25
2019,2020-03-31,5.0,0,19
2019,2020-04-01,5.0,0,20
2019,2020-04-02,6.0,0,23
2019,2020-04-03,6.0,0,23
2019,2020-04-04,6.0,0,23
2019,2020-04-05,7.0,0,24
2019,2020-04-06,8.0,0,25
2019,2020-04-07,5.0,0,17
2019,2020-04-08,6.0,0,21
2019,2020-04-09,6.0,0,21
2019,2020-04-10,6.0,0,22
2019,2020-04-11,6.0,0,22
2019,2020-04-12,8.0,0,26
2019,2020-04-13,8.0,0,26
2019,2020-04-14,5.0,0,20
2019,2020-04-15,6.0,0,23
2019,2020-04-16,6.0,0,26
2019,2020-04-17,7.0,0,27
2019,2020-04-18,7.0,0,27
2019,2020-04-19,8.0,0,26
2019,2020-04-20,6.0,0,21
2019,2020-04-21,4.0,0,18
2019,2020-04-22,5.0,0,22
2019,2020-04-23,6.0,0,26
2019,2020-04-24,6.0,0,28
2019,2020-04-25,6.0,0,29
2019,2020-04-26,7.0,0,29
2019,2020-04-27,7.0,0,27
2019,2020-04-28,5.0,0,22
