year,date,median,low,high
2019,2019-01-01,8.0,0,51
2019,2019-01-02,12.0,0,60
2019,2019-01-03,14.0,0,65
2019,2019-01-04,16.0,0,70
2019,2019-01-05,10.0,0,51
2019,2019-01-06,10.0,0,50
2019,2019-01-07,12.0,0,104
2019,2019-01-08,14.0,0,127
2019,2019-01-09,16.0,0,178
2019,2019-01-10,14.0,0,171
2019,2019-01-11,8.0,0,90
2019,2019-01-12,7.0,0,68
2019,2019-01-13,5.0,0,75
2019,2019-01-14,7.0,0,81
2019,2019-01-15,7.0,0,89
2019,2019-01-16,8.0,0,65
2019,2019-01-17,8.0,0,69
2019,2019-01-18,8.0,0,64
2019,2019-01-19,6.0,0,61
2019,2019-01-20,4.0,0,51
2019,2019-01-21,5.0,0,58
2019,2019-01-22,7.0,0,70
2019,2019-01-23,7.0,0,36
2019,2019-01-24,7.0,0,32
2019,2019-01-25,9.0,0,35
2019,2019-01-26,7.0,0,30
2019,2019-01-27,5.0,0,25
2019,2019-01-28,7.0,0,32
2019,2019-01-29,7.0,0,33
2019,2019-01-30,7.0,0,37
2019,2019-01-31,7.0,0,37
2019,2019-02-01,8.0,0,38
2019,2019-02-02,6.0,0,34
2019,2019-02-03,5.0,0,34
2019,2019-02-04,7.0,0,38
2019,2019-02-05,7.0,0,50
2019,2019-02-06,7.0,0,82
2019,2019-02-07,7.0,0,74
2019,2019-02-08,8.0,0,98
2019,2019-02-09,6.0,0,84
2019,2019-02-10,5.0,0,63
2019,2019-02-11,7.0,0,70
2019,2019-02-12,7.0,0,53
2019,2019-02-13,8.0,0,36
2019,2019-02-14,9.0,0,36
2019,2019-02-15,9.0,0,36
2019,2019-02-16,7.0,0,29
2019,2019-02-17,5.0,0,27
2019,2019-02-18,6.0,0,21
2019,2019-02-19,7.0,0,27
2019,2019-02-20,7.0,0,26
2019,2019-02-21,8.0,0,29
2019,2019-02-22,9.0,0,29
2019,2019-02-23,7.0,0,23
2019,2019-02-24,4.0,0,16
2019,2019-02-25,7.0,0,26
2019,2019-02-26,7.0,0,27
2019,2019-02-27,7.0,0,27
2019,2019-02-28,8.0,0,28
2019,2019-03-01,8.0,0,28
2019,2019-03-02,6.0,0,21
2019,2019-03-03,5.0,0,19
2019,2019-03-04,6.0,0,22
2019,2019-03-05,7.0,0,27
2019,2019-03-06,7.0,0,28
2019,2019-03-07,8.0,0,29
2019,2019-03-08,9.0,0,31
2019,2019-03-09,7.0,0,26
2019,2019-03-10,5.0,0,19
2019,2019-03-11,8.0,0,29
2019,2019-03-12,7.0,0,26
2019,2019-03-13,7.0,0,27
2019,2019-03-14,8.0,0,29
2019,2019-03-15,9.0,0,30
2019,2019-03-16,7.0,0,25
2019,2019-03-17,5.0,0,19
2019,2019-03-18,7.0,0,26
2019,2019-03-19,8.0,0,29
2019,2019-03-20,8.0,0,30
2019,2019-03-21,8.0,0,28
2019,2019-03-22,8.0,0,29
2019,2019-03-23,7.0,0,25
2019,2019-03-24,6.0,0,21
2019,2019-03-25,8.0,0,28
2019,2019-03-26,8.0,0,28
2019,2019-03-27,8.0,0,29
2019,2019-03-28,8.0,0,31
2019,2019-03-29,9.0,0,30
2019,2019-03-30,8.0,0,28
2019,2019-03-31,5.0,0,21
2019,2019-04-01,7.0,0,27
2019,2019-04-02,8.0,0,29
2019,2019-04-03,8.0,0,30
2019,2019-04-04,9.0,0,30
2019,2019-04-05,9.0,0,29
2019,2019-04-06,8.0,0,26
2019,2019-04-07,6.0,0,21
2019,2019-04-08,8.0,0,28
2019,2019-04-09,8.0,0,28
2019,2019-04-10,8.0,0,29
2019,2019-04-11,8.0,0,29
2019,2019-04-12,9.0,0,32
2019,2019-04-13,8.0,0,29
2019,2019-04-14,6.0,0,23
2019,2019-04-15,9.0,0,30
2019,2019-04-16,9.0,0,33
2019,2019-04-17,9.0,0,34
2019,2019-04-18,9.0,0,32
2019,2019-04-19,9.0,0,32
2019,2019-04-20,6.0,0,24
2019,2019-04-21,5.0,0,22
