year,date,median,low,high
2019,2019-01-01,4.0,0,34
2019,2019-01-02,6.0,0,53
2019,2019-01-03,6.0,0,54
2019,2019-01-04,8.0,0,57
2019,2019-01-05,4.0,0,42
2019,2019-01-06,4.0,0,36
2019,2019-01-07,4.0,0,44
2019,2019-01-08,6.0,0,52
2019,2019-01-09,6.0,0,59
2019,2019-01-10,6.0,0,55
2019,2019-01-11,4.0,0,30
2019,2019-01-12,3.0,0,25
2019,2019-01-13,2.0,0,25
2019,2019-01-14,3.0,0,35
2019,2019-01-15,3.0,0,32
2019,2019-01-16,3.0,0,29
2019,2019-01-17,3.0,0,27
2019,2019-01-18,4.0,0,28
2019,2019-01-19,3.0,0,25
2019,2019-01-20,2.0,0,19
2019,2019-01-21,2.0,0,17
2019,2019-01-22,3.0,0,25
2019,2019-01-23,3.0,0,28
2019,2019-01-24,3.0,0,28
2019,2019-01-25,4.0,0,30
2019,2019-01-26,3.0,0,25
2019,2019-01-27,2.0,0,21
2019,2019-01-28,3.0,0,31
2019,2019-01-29,3.0,0,35
2019,2019-01-30,3.0,0,47
2019,2019-01-31,3.0,0,58
2019,2019-02-01,3.0,0,66
2019,2019-02-02,3.0,0,77
2019,2019-02-03,2.0,0,80
2019,2019-02-04,3.0,0,91
2019,2019-02-05,3.0,0,69
2019,2019-02-06,3.0,0,41
2019,2019-02-07,3.0,0,39
2019,2019-02-08,3.0,0,39
2019,2019-02-09,3.0,0,35
2019,2019-02-10,2.0,0,30
2019,2019-02-11,3.0,0,29
2019,2019-02-12,3.0,0,27
2019,2019-02-13,3.0,0,32
2019,2019-02-14,4.0,0,33
2019,2019-02-15,4.0,0,31
2019,2019-02-16,3.0,0,27
2019,2019-02-17,2.0,0,22
2019,2019-02-18,3.0,0,24
2019,2019-02-19,3.0,0,31
2019,2019-02-20,3.0,0,29
2019,2019-02-21,4.0,0,32
2019,2019-02-22,4.0,0,30
2019,2019-02-23,3.0,0,24
2019,2019-02-24,2.0,0,17
2019,2019-02-25,3.0,0,29
2019,2019-02-26,3.0,0,30
2019,2019-02-27,3.0,0,30
2019,2019-02-28,3.0,0,30
2019,2019-03-01,4.0,0,30
2019,2019-03-02,3.0,0,23
2019,2019-03-03,2.0,0,20
2019,2019-03-04,3.0,0,25
2019,2019-03-05,3.0,0,31
2019,2019-03-06,3.0,0,30
2019,2019-03-07,4.0,0,32
2019,2019-03-08,4.0,0,32
2019,2019-03-09,3.0,0,26
2019,2019-03-10,2.0,0,27
2019,2019-03-11,3.0,0,35
2019,2019-03-12,3.0,0,32
2019,2019-03-13,3.0,0,30
2019,2019-03-14,4.0,0,34
2019,2019-03-15,4.0,0,33
2019,2019-03-16,3.0,0,29
2019,2019-03-17,2.0,0,22
2019,2019-03-18,3.0,0,29
2019,2019-03-19,3.0,0,31
2019,2019-03-20,4.0,0,33
2019,2019-03-21,3.0,0,32
2019,2019-03-22,4.0,0,35
2019,2019-03-23,3.0,0,29
2019,2019-03-24,3.0,0,26
2019,2019-03-25,3.0,0,32
2019,2019-03-26,3.0,0,31
2019,2019-03-27,4.0,0,33
2019,2019-03-28,4.0,0,34
2019,2019-03-29,4.0,0,33
2019,2019-03-30,3.0,0,32
2019,2019-03-31,2.0,0,20
2019,2019-04-01,3.0,0,32
2019,2019-04-02,4.0,0,34
2019,2019-04-03,4.0,0,35
2019,2019-04-04,4.0,0,35
2019,2019-04-05,4.0,0,34
2019,2019-04-06,4.0,0,33
2019,2019-04-07,3.0,0,26
2019,2019-04-08,4.0,0,34
2019,2019-04-09,4.0,0,34
2019,2019-04-10,4.0,0,35
2019,2019-04-11,4.0,0,34
2019,2019-04-12,4.0,0,35
2019,2019-04-13,4.0,0,33
2019,2019-04-14,3.0,0,24
2019,2019-04-15,4.0,0,36
2019,2019-04-16,4.0,0,38
2019,2019-04-17,4.0,0,37
2019,2019-04-18,4.0,0,37
2019,2019-04-19,4.0,0,39
2019,2019-04-20,3.0,0,35
2019,2019-04-21,2.0,0,26
2019,2019-04-22,3.0,0,34
2019,2019-04-23,3.0,0,36
2019,2019-04-24,4.0,0,39
2019,2019-04-25,4.0,0,38
2019,2019-04-26,4.0,0,40
2019,2019-04-27,3.0,0,38
2019,2019-04-28,2.0,0,32
2019,2019-04-29,3.0,0,37
2019,2019-04-30,3.0,0,34
2019,2019-05-01,4.0,0,36
2019,2019-05-02,4.0,0,36
2019,2019-05-03,4.0,0,34
2019,2019-05-04,3.0,0,27
2019,2019-05-05,2.0,0,19
2019,2019-05-06,4.0,0,34
2019,2019-05-07,4.0,0,32
2019,2019-05-08,4.0,0,35
2019,2019-05-09,4.0,0,36
2019,2019-05-10,4.0,0,34
2019,2019-05-11,4.0,0,28
2019,2019-05-12,2.0,0,18
2019,2019-05-13,3.0,0,31
2019,2019-05-14,4.0,0,33
2019,2019-05-15,4.0,0,35
2019,2019-05-16,4.0,0,35
2019,2019-05-17,5.0,0,36
2019,2019-05-18,4.0,0,29
2019,2019-05-19,3.0,0,22
2019,2019-05-20,3.0,0,29
2019,2019-05-21,4.0,0,32
